amount_received,receiving_currency,amount_paid,payment_currency,payment_format,from_entity_type,from_bank_prefix,from_entity_account_count,from_entity_bank_count,to_entity_type,to_bank_prefix,to_entity_account_count,to_entity_bank_count,hour,day,day_of_week,is_weekend,amount_paid_log1p,amount_received_log1p,amount_abs_diff,amount_ratio_paid_to_received,same_bank,same_account,same_entity,cross_currency,is_laundering
87.04,Euro,87.04,Euro,Reinvestment,Corporation,France,16,15,Corporation,France,16,15,0,1,3,0,4.477791256658261,4.477791256658261,0.0,1.0,1,1,1,0,0
1.33,Euro,1.33,Euro,Credit Card,Sole Proprietorship,Germany,8,8,Partnership,Italy,1,1,0,1,3,0,0.8458682675776092,0.8458682675776092,0.0,1.0,0,0,0,0,0
103124.26,Saudi Riyal,103124.26,Saudi Riyal,Reinvestment,Sole Proprietorship,Saudi Arabia,4793,773,Sole Proprietorship,Saudi Arabia,4793,773,0,1,3,0,11.543699644845924,11.543699644845924,0.0,1.0,1,1,1,0,0
71670.09,Saudi Riyal,71670.09,Saudi Riyal,Reinvestment,Sole Proprietorship,Saudi Arabia,1,1,Sole Proprietorship,Saudi Arabia,1,1,0,1,3,0,11.179842737467265,11.179842737467265,0.0,1.0,1,1,1,0,0
58964.44,Euro,58964.44,Euro,Reinvestment,Corporation,Netherlands,5,5,Corporation,Netherlands,5,5,0,1,3,0,10.98470678854999,10.98470678854999,0.0,1.0,1,1,1,0,0
22764.27,Mexican Peso,22764.27,Mexican Peso,Reinvestment,Corporation,Mexico,696,239,Corporation,Mexico,696,239,0,1,3,0,10.032991408010432,10.032991408010432,0.0,1.0,1,1,1,0,0
933.59,US Dollar,933.59,US Dollar,Reinvestment,Sole Proprietorship,First,9,9,Sole Proprietorship,First,9,9,0,1,3,0,6.840107930444478,6.840107930444478,0.0,1.0,1,1,1,0,0
22.61,US Dollar,22.61,US Dollar,Reinvestment,Partnership,Savings,1,1,Partnership,Savings,1,1,0,1,3,0,3.1616703510974213,3.1616703510974213,0.0,1.0,1,1,1,0,0
1733.06,US Dollar,1733.06,US Dollar,Cheque,Partnership,The Pine Thrift,4,4,Sole Proprietorship,National,1,1,1,1,3,0,7.458220758817974,7.458220758817974,0.0,1.0,0,0,0,0,0
10.87,US Dollar,10.87,US Dollar,Reinvestment,Partnership,National,8,8,Partnership,National,8,8,0,1,3,0,2.4740142086215764,2.4740142086215764,0.0,1.0,1,1,1,0,0
